user_id,plan,signup_date,churn_date,monthly_fee,country,is_churned,customer_lifetime_days
1,Basic,2023-09-19,,399.0,India,0,866
2,Premium,2023-12-27,,199.0,Unknown,0,767
3,Basic,2023-06-25,,199.0,Australia,0,952
4,Standard,2023-12-10,,199.0,Germany,0,784
5,Unknown,2023-11-03,,199.0,Germany,0,821
6,Standard,2023-11-20,2024-02-04,199.0,India,1,76
7,Standard,2023-08-21,,799.0,Unknown,0,895
8,Basic,2023-06-07,,199.0,Germany,0,970
9,Basic,2023-12-23,,399.0,Unknown,0,771
10,Standard,2023-05-06,2024-02-04,399.0,UK,1,274
11,Standard,2023-02-11,,399.0,Australia,0,1086
12,Premium,2023-09-18,,799.0,US,0,867
13,Basic,2023-05-29,,199.0,Australia,0,979
14,Basic,2023-09-13,,199.0,Unknown,0,872
15,Basic,2023-07-08,,199.0,Australia,0,939
16,Premium,2023-07-17,2023-11-20,199.0,US,1,126
17,Basic,2023-11-05,,399.0,Unknown,0,819
18,Standard,2023-09-14,,799.0,India,0,871
19,Premium,2023-07-05,2023-10-01,399.0,Germany,1,88
20,Basic,2023-02-01,,799.0,Australia,0,1096
21,Standard,2023-07-08,,399.0,Australia,0,939
22,Unknown,2023-11-03,,799.0,Australia,0,821
23,Basic,2023-05-18,,199.0,Australia,0,990
24,Standard,2023-10-17,,199.0,Unknown,0,838
25,Premium,2023-09-18,,199.0,Australia,0,867
26,Basic,2023-10-07,2023-11-01,399.0,US,1,25
27,Standard,2023-10-14,,399.0,Germany,0,841
28,Premium,2023-08-12,,799.0,Australia,0,904
29,Standard,2023-10-04,,399.0,Unknown,0,851
30,Standard,2023-06-17,,399.0,UK,0,960
31,Basic,2023-11-17,,199.0,India,0,807
32,Standard,2023-10-24,,799.0,Unknown,0,831
33,Basic,2023-11-10,,199.0,Unknown,0,814
34,Standard,2023-01-27,,799.0,US,0,1101
35,Basic,2023-03-15,2023-11-04,799.0,Unknown,1,234
36,Premium,2023-06-20,,799.0,Unknown,0,957
37,Premium,2023-07-05,2024-03-14,399.0,India,1,253
38,Basic,2023-11-29,,399.0,India,0,795
39,Standard,2023-08-14,,799.0,Unknown,0,902
40,Basic,2023-09-30,2023-10-29,399.0,UK,1,29
41,Standard,2023-01-03,,799.0,UK,0,1125
42,Basic,2023-10-29,,199.0,UK,0,826
43,Standard,2023-11-15,,399.0,UK,0,809
44,Basic,2023-10-08,,399.0,India,0,847
45,Standard,2023-01-26,,399.0,Australia,0,1102
46,Standard,2023-11-30,,399.0,US,0,794
47,Basic,2023-01-02,,199.0,India,0,1126
48,Premium,2023-06-18,,199.0,Australia,0,959
49,Basic,2023-08-24,,399.0,Unknown,0,892
50,Standard,2023-05-27,,399.0,US,0,981
51,Basic,2023-06-29,,399.0,India,0,948
52,Basic,2023-03-24,,799.0,Germany,0,1045
53,Standard,2023-03-25,,399.0,Germany,0,1044
54,Standard,2023-02-04,,399.0,Unknown,0,1093
55,Basic,2023-02-23,2023-03-15,199.0,Australia,1,20
56,Basic,2023-12-23,,399.0,Australia,0,771
57,Basic,2023-09-10,2023-11-04,199.0,Germany,1,55
58,Standard,2023-04-20,,399.0,Germany,0,1018
59,Standard,2023-06-24,,199.0,Australia,0,953
60,Standard,2023-11-19,,399.0,Unknown,0,805
61,Unknown,2023-12-15,2024-03-09,399.0,US,1,85
62,Standard,2023-01-17,2024-02-02,199.0,India,1,381
63,Basic,2023-09-23,,399.0,UK,0,862
64,Basic,2023-10-17,,199.0,Germany,0,838
65,Standard,2023-04-30,,199.0,India,0,1008
66,Basic,2023-11-13,,199.0,Germany,0,811
67,Unknown,2023-01-13,,799.0,Unknown,0,1115
68,Premium,2023-05-20,2023-12-09,199.0,Australia,1,203
69,Premium,2023-04-23,,199.0,Australia,0,1015
70,Standard,2023-03-19,,199.0,US,0,1050
71,Premium,2023-12-01,,199.0,Australia,0,793
72,Basic,2023-03-13,,799.0,Australia,0,1056
73,Basic,2023-12-17,,799.0,India,0,777
74,Standard,2023-12-25,,399.0,Australia,0,769
75,Standard,2023-11-03,,799.0,US,0,821
76,Standard,2023-07-18,,399.0,Australia,0,929
77,Basic,2023-03-28,,199.0,Australia,0,1041
78,Basic,2023-03-10,,199.0,UK,0,1059
79,Basic,2023-10-05,,399.0,Germany,0,850
80,Basic,2023-10-07,2024-03-14,799.0,US,1,159
81,Basic,2023-08-23,,399.0,Australia,0,893
82,Basic,2023-03-03,2023-04-03,199.0,Australia,1,31
83,Basic,2023-10-12,,199.0,India,0,843
84,Premium,2023-11-29,,199.0,US,0,795
85,Premium,2023-12-03,,199.0,India,0,791
86,Standard,2023-04-07,2023-08-26,199.0,Germany,1,141
87,Standard,2023-12-21,,199.0,UK,0,773
88,Premium,2023-08-27,,199.0,India,0,889
89,Premium,2023-02-09,,199.0,Germany,0,1088
90,Standard,2023-08-05,,399.0,Unknown,0,911
91,Premium,2023-11-25,,199.0,Australia,0,799
92,Premium,2023-12-11,,399.0,Australia,0,783
93,Basic,2023-03-17,,799.0,UK,0,1052
94,Premium,2023-09-28,,799.0,UK,0,857
95,Basic,2023-02-25,,799.0,Unknown,0,1072
96,Standard,2023-05-27,,199.0,Unknown,0,981
97,Premium,2023-12-21,,199.0,India,0,773
98,Standard,2023-05-06,2023-12-01,199.0,Unknown,1,209
99,Basic,2023-01-21,,199.0,Germany,0,1107
100,Standard,2023-03-30,,399.0,India,0,1039
101,Basic,2023-02-25,,399.0,Unknown,0,1072
102,Basic,2023-12-15,,199.0,Germany,0,779
103,Premium,2023-07-28,,399.0,Unknown,0,919
104,Basic,2023-08-03,2023-12-28,799.0,Germany,1,147
105,Standard,2023-09-20,,399.0,Australia,0,865
106,Standard,2023-04-01,,199.0,Australia,0,1037
107,Premium,2023-03-17,,199.0,Germany,0,1052
108,Premium,2023-02-22,2023-02-22,399.0,Australia,1,0
109,Basic,2023-11-12,,399.0,UK,0,812
110,Basic,2023-09-01,2024-03-07,199.0,UK,1,188
111,Standard,2023-03-07,2024-01-03,199.0,US,1,302
112,Basic,2023-05-17,,199.0,Australia,0,991
113,Standard,2023-07-05,,199.0,India,0,942
114,Standard,2023-05-26,,799.0,Unknown,0,982
115,Premium,2023-09-27,,399.0,Unknown,0,858
116,Premium,2023-03-01,,199.0,Germany,0,1068
117,Basic,2023-05-18,,799.0,Australia,0,990
118,Basic,2023-03-23,2024-02-09,199.0,Unknown,1,323
119,Standard,2023-01-02,,399.0,Germany,0,1126
120,Basic,2023-06-18,2024-03-25,799.0,UK,1,281
121,Basic,2023-07-26,,399.0,India,0,921
122,Standard,2023-03-27,2023-12-06,399.0,Australia,1,254
123,Basic,2023-07-24,2024-03-21,799.0,Australia,1,241
124,Premium,2023-01-05,,199.0,Unknown,0,1123
125,Premium,2023-04-03,,199.0,US,0,1035
126,Basic,2023-11-20,,199.0,US,0,804
127,Standard,2023-04-25,2023-12-04,199.0,US,1,223
128,Premium,2023-10-15,,399.0,US,0,840
129,Unknown,2023-11-01,,199.0,Unknown,0,823
130,Basic,2023-10-26,,799.0,UK,0,829
131,Basic,2023-07-10,,799.0,UK,0,937
132,Premium,2023-02-19,,199.0,UK,0,1078
133,Premium,2023-08-22,,199.0,Australia,0,894
134,Basic,2023-12-06,,199.0,India,0,788
135,Basic,2023-06-14,,399.0,US,0,963
136,Standard,2023-09-07,,399.0,Australia,0,878
137,Premium,2023-07-30,,799.0,India,0,917
138,Basic,2023-05-12,,399.0,UK,0,996
139,Standard,2023-04-07,2023-09-08,399.0,UK,1,154
140,Premium,2023-08-21,,199.0,Germany,0,895
141,Standard,2023-02-07,,199.0,Unknown,0,1090
142,Basic,2023-04-10,2024-02-16,799.0,Germany,1,312
143,Basic,2023-12-28,,399.0,Australia,0,766
144,Basic,2023-06-13,,399.0,Germany,0,964
145,Premium,2023-03-15,2023-12-20,199.0,Unknown,1,280
146,Basic,2023-04-04,,399.0,Australia,0,1034
147,Basic,2023-08-22,,399.0,Australia,0,894
148,Basic,2023-07-17,,199.0,Australia,0,930
149,Basic,2023-12-22,,199.0,Unknown,0,772
150,Basic,2023-03-15,,399.0,UK,0,1054
151,Basic,2023-08-20,,399.0,Germany,0,896
152,Standard,2023-10-23,,199.0,Australia,0,832
153,Standard,2023-05-19,,399.0,US,0,989
154,Basic,2023-05-15,,399.0,US,0,993
155,Basic,2023-06-02,2023-11-24,799.0,Australia,1,175
156,Basic,2023-12-03,,799.0,Australia,0,791
157,Standard,2023-09-29,,199.0,US,0,856
158,Premium,2023-08-08,,199.0,Germany,0,908
159,Unknown,2023-06-17,,399.0,Germany,0,960
160,Basic,2023-04-08,,799.0,US,0,1030
161,Basic,2023-08-23,,799.0,Germany,0,893
162,Premium,2023-10-05,,199.0,India,0,850
163,Premium,2023-02-14,,199.0,India,0,1083
164,Standard,2023-12-23,,199.0,Unknown,0,771
165,Premium,2023-05-22,,199.0,UK,0,986
166,Premium,2023-05-18,2024-03-22,399.0,US,1,309
167,Standard,2023-11-18,,399.0,UK,0,806
168,Premium,2023-11-25,,199.0,US,0,799
169,Basic,2023-06-12,2024-03-14,199.0,UK,1,276
170,Basic,2023-12-28,,199.0,Australia,0,766
171,Basic,2023-05-13,,199.0,Australia,0,995
172,Basic,2023-08-25,,399.0,Unknown,0,891
173,Premium,2023-05-04,,399.0,India,0,1004
174,Basic,2023-03-17,,799.0,Germany,0,1052
175,Standard,2023-06-30,2023-07-01,399.0,US,1,1
176,Basic,2023-10-07,,199.0,UK,0,848
177,Basic,2023-07-07,2023-10-15,399.0,US,1,100
178,Basic,2023-07-29,2024-03-05,799.0,Unknown,1,220
179,Basic,2023-10-21,,799.0,Germany,0,834
180,Standard,2023-09-18,2023-10-04,199.0,Unknown,1,16
181,Standard,2023-05-10,,199.0,Germany,0,998
182,Basic,2023-12-14,,199.0,Australia,0,780
183,Standard,2023-03-27,,199.0,India,0,1042
184,Basic,2023-02-07,,799.0,Germany,0,1090
185,Basic,2023-10-14,,399.0,Australia,0,841
186,Basic,2023-08-10,,199.0,India,0,906
187,Basic,2023-07-02,,799.0,India,0,945
188,Basic,2023-09-11,,199.0,Unknown,0,874
189,Premium,2023-09-03,,199.0,UK,0,882
190,Premium,2023-02-10,2023-06-16,199.0,Unknown,1,126
191,Basic,2023-08-24,,199.0,Unknown,0,892
192,Basic,2023-05-10,,399.0,UK,0,998
193,Basic,2023-05-19,,199.0,Australia,0,989
194,Standard,2023-04-02,,399.0,Germany,0,1036
195,Basic,2023-06-24,2024-03-23,799.0,US,1,273
196,Standard,2023-08-12,2024-01-17,799.0,Germany,1,158
197,Premium,2023-01-15,,399.0,Australia,0,1113
198,Basic,2023-02-10,,199.0,India,0,1087
199,Standard,2023-06-16,,199.0,Germany,0,961
200,Standard,2023-10-25,,799.0,Unknown,0,830
201,Premium,2023-02-28,,199.0,Germany,0,1069
202,Basic,2023-04-08,,399.0,Australia,0,1030
203,Standard,2023-04-29,,799.0,US,0,1009
204,Premium,2023-05-08,2024-03-06,799.0,Australia,1,303
205,Standard,2023-04-08,,399.0,US,0,1030
206,Basic,2023-07-11,2023-10-02,199.0,Unknown,1,83
207,Standard,2023-12-16,,399.0,India,0,778
208,Standard,2023-12-09,,199.0,India,0,785
209,Standard,2023-08-12,2023-11-16,799.0,Germany,1,96
210,Basic,2023-07-29,2024-01-17,399.0,UK,1,172
211,Unknown,2023-08-12,,199.0,Germany,0,904
212,Unknown,2023-02-15,,199.0,Germany,0,1082
213,Basic,2023-07-20,,399.0,India,0,927
214,Standard,2023-03-29,,399.0,Australia,0,1040
215,Basic,2023-01-20,,399.0,Unknown,0,1108
216,Unknown,2023-05-26,,399.0,UK,0,982
217,Premium,2023-08-28,,799.0,Australia,0,888
218,Standard,2023-12-28,,399.0,UK,0,766
219,Premium,2023-02-06,,799.0,Australia,0,1091
220,Basic,2023-10-21,2024-03-10,399.0,UK,1,141
221,Basic,2023-01-30,,799.0,US,0,1098
222,Basic,2023-11-30,,799.0,Australia,0,794
223,Standard,2023-12-12,,199.0,Germany,0,782
224,Basic,2023-02-17,,799.0,Australia,0,1080
225,Premium,2023-05-25,,799.0,Australia,0,983
226,Standard,2023-09-23,,799.0,US,0,862
227,Basic,2023-01-07,2023-11-15,399.0,UK,1,312
228,Basic,2023-07-17,,199.0,Australia,0,930
229,Standard,2023-07-13,,399.0,India,0,934
230,Premium,2023-02-07,2023-08-20,199.0,Germany,1,194
231,Standard,2023-12-10,,199.0,UK,0,784
232,Basic,2023-04-05,,199.0,Unknown,0,1033
233,Premium,2023-12-22,,399.0,Germany,0,772
234,Basic,2023-08-23,2023-12-15,199.0,UK,1,114
235,Premium,2023-12-06,,799.0,US,0,788
236,Standard,2023-07-11,2023-12-22,399.0,US,1,164
237,Basic,2023-08-04,,399.0,India,0,912
238,Standard,2023-09-17,,199.0,UK,0,868
239,Standard,2023-01-23,,199.0,Unknown,0,1105
240,Basic,2023-10-20,,799.0,Australia,0,835
241,Premium,2023-08-20,,399.0,Australia,0,896
242,Basic,2023-01-29,,199.0,UK,0,1099
243,Premium,2023-06-26,,799.0,UK,0,951
244,Premium,2023-09-07,2024-01-10,399.0,UK,1,125
245,Basic,2023-02-15,,199.0,UK,0,1082
246,Standard,2023-09-13,,199.0,UK,0,872
247,Basic,2023-07-31,,799.0,Germany,0,916
248,Premium,2023-02-12,2024-03-20,199.0,India,1,402
249,Standard,2023-12-29,,399.0,UK,0,765
250,Standard,2023-10-15,,199.0,US,0,840
251,Premium,2023-11-06,,399.0,Unknown,0,818
252,Basic,2023-08-28,,799.0,Unknown,0,888
253,Standard,2023-07-24,2024-02-04,199.0,Germany,1,195
254,Basic,2023-12-11,,199.0,US,0,783
255,Basic,2023-05-28,,199.0,Germany,0,980
256,Premium,2023-07-06,2024-01-21,199.0,Unknown,1,199
257,Standard,2023-08-20,,199.0,US,0,896
