month,users,churned_users,churn_rate_pct
2023-01,101,41,40.59
2023-02,261,138,52.87
2023-03,280,133,47.5
2023-04,268,154,57.46
2023-05,276,137,49.64
2023-06,271,135,49.82
2023-07,274,133,48.54
2023-08,296,145,48.99
2023-09,301,170,56.48
2023-10,272,128,47.06
2023-11,244,135,55.33
2023-12,261,129,49.43
2024-01,283,140,49.47
2024-02,257,130,50.58
2024-03,283,142,50.18
2024-04,305,137,44.92
2024-05,269,136,50.56
2024-06,263,138,52.47
2024-07,308,162,52.6
2024-08,277,139,50.18
2024-09,274,134,48.91
2024-10,296,146,49.32
2024-11,319,153,47.96
2024-12,280,139,49.64
2025-01,267,113,42.32
2025-02,246,117,47.56
2025-03,271,119,43.91
2025-04,294,142,48.3
2025-05,252,129,51.19
2025-06,245,108,44.08
2025-07,282,154,54.61
2025-08,295,138,46.78
2025-09,266,127,47.74
2025-10,295,146,49.49
2025-11,261,130,49.81
2025-12,307,161,52.44
2026-01,200,96,48.0
