user_id,plan,signup_date,churn_date,monthly_fee,country
1,Basic,2023-02-20,2023-07-23,799,Germany
2,,2023-03-12,2023-12-27,799,
3,Standard,2023-02-17,,399,India
4,Standard,2023-01-19,2023-08-23,199,US
5,Basic,2023-09-19,,199,Australia
6,Basic,2023-03-25,,199,Germany
7,Basic,2023-06-04,2024-03-20,799,US
8,Premium,2023-02-22,,199,India
9,Standard,2023-04-17,,399,UK
10,Standard,2023-12-23,,399,Germany
11,Basic,2023-10-31,2023-07-02,399,India
12,,2023-05-15,2023-05-13,799,India
13,Premium,2023-03-10,,199,US
14,Basic,2023-01-11,,799,India
15,Basic,2023-05-23,,199,Germany
16,Basic,2023-07-11,,199,
17,Basic,2023-03-10,2023-08-20,199,Germany
18,Standard,2023-01-23,,199,India
19,Basic,2023-06-30,2023-11-06,799,US
20,Basic,2023-10-20,2023-04-05,399,Germany
21,Standard,2023-01-09,,199,UK
22,Basic,2023-09-28,2023-05-27,199,
23,Basic,2023-04-03,,399,Australia
24,Basic,2023-01-17,,799,US
25,Standard,2023-06-03,2023-07-02,199,US
26,Premium,2023-11-24,,399,Australia
27,Basic,2023-05-29,,799,Australia
28,Standard,2023-09-24,,399,Germany
29,Standard,2023-11-24,2023-07-05,199,India
30,Basic,2023-04-16,,399,India
31,Standard,2023-02-04,,399,UK
32,Basic,2023-04-29,,399,
33,Basic,2023-01-14,2023-07-13,399,India
34,Premium,2023-01-14,,,UK
35,,2023-09-23,2023-04-22,199,UK
36,Premium,2023-05-20,,,US
37,Basic,2023-10-21,2023-02-05,399,US
38,Basic,2023-12-30,,399,
39,Standard,2023-04-29,,199,Germany
40,Basic,2023-08-26,2023-12-18,199,Australia
41,Basic,2023-02-03,2023-04-07,799,Australia
42,Standard,2023-06-18,,399,
43,Basic,2023-01-10,,199,UK
44,Premium,2023-05-02,,399,
45,Basic,2023-05-25,,199,Australia
46,Standard,2023-08-11,2023-09-25,,UK
47,Basic,2023-09-14,,799,Australia
48,Standard,2023-09-25,,199,Germany
49,Standard,2023-12-25,,799,US
50,Basic,2023-01-04,,799,US
51,,2023-12-20,,199,UK
52,Premium,2023-04-16,,399,
53,Premium,2023-03-26,2023-04-12,199,Australia
54,Premium,2023-08-02,,399,India
