claim_id,risk_category,claim_amount,claim_date,settled
1,Auto,45591.58915867669,2022-01-09,True
2,Auto,104633.78438224681,2023-03-12,True
3,Fraud,9682.992379751015,2022-06-05,False
4,Medical,23853.99769904052,2023-11-19,False
5,Medical,60891.73012920956,2022-04-24,True
6,Auto,15360.968269182136,2022-06-16,True
7,Auto,51802.446866359336,2023-05-03,False
8,Fraud,139248.3981448797,2023-03-13,False
9,Medical,16577.39389585206,2022-08-11,False
10,Medical,42380.47521949806,2022-07-10,False
11,Auto,2270.173205108759,2023-07-30,False
12,Medical,28166.547551431704,2022-06-22,False
13,Auto,41531.17830993953,2022-09-14,False
14,Auto,43336.692831932014,2023-12-16,False
15,Property,42862.03326505472,2023-03-26,True
16,Property,12540.78538306712,2023-05-16,True
17,Fraud,27277.187652798246,2022-03-18,True
18,Auto,26339.878934395452,2023-09-07,True
19,Fraud,48885.698744674635,2022-08-14,False
20,Property,94519.46190997418,2022-08-14,False
21,Medical,1021.8308134701684,2023-08-31,False
22,Property,33340.40403836896,2022-03-17,True
23,Property,59892.83881032633,2022-02-02,True
24,Property,82261.91456394647,2023-08-17,False
25,Medical,44820.484758438884,2022-03-10,True
26,Property,98294.66552298119,2023-02-19,False
27,Auto,9422.976403764404,2023-03-24,False
28,Auto,7497.919363629258,2022-12-28,True
29,Property,10550.882921743927,2023-01-05,True
30,Fraud,32326.68861150745,2023-02-03,False
31,Fraud,77733.90403487254,2022-04-30,True
32,Medical,29534.40464088848,2022-02-17,False
33,Medical,12196.238181909826,2022-03-09,False
34,Auto,47931.061659378785,2022-12-05,False
35,Auto,81448.13918972826,2022-03-26,False
36,Property,86091.58466850112,2023-01-12,True
37,Fraud,75053.41093798274,2023-01-20,False
38,Auto,62754.56697704131,2022-10-03,True
39,Fraud,23445.5939017917,2022-07-24,False
40,Medical,40612.310370283405,2022-03-06,True
41,Medical,78488.76518061699,2022-03-20,False
42,Property,23893.064663040215,2023-06-10,False
43,Property,67859.41599805775,2022-11-21,True
44,Auto,,2023-01-13,False
45,Fraud,18029.049607420777,2023-11-12,False
46,Auto,56214.469203790286,2023-11-02,False
47,Auto,10738.307662853253,2023-09-20,False
48,Fraud,37095.95298180561,2022-12-12,True
49,Auto,103858.92363319725,2023-12-05,True
50,Property,15687.987270998181,2023-03-11,False
51,Fraud,8594.402570652432,2023-11-26,False
52,Fraud,42210.10688514713,2023-01-13,False
53,Auto,18365.461414615485,2023-11-11,True
54,Fraud,78156.89636205007,2022-01-15,False
55,Property,96323.11445037955,2023-03-30,True
56,Property,24533.998000310512,2022-07-12,True
57,Medical,20129.684792707456,2022-08-21,True
58,Medical,15035.50574162214,2022-09-20,True
59,Medical,22264.55870326977,2023-03-22,False
60,Medical,8273.797405765752,2022-02-23,False
61,Auto,4970.653944047732,2023-11-23,True
62,Medical,35639.847991271396,2022-01-04,True
63,Medical,67738.3431974644,2022-09-14,False
64,Medical,55598.60190332997,2022-12-27,False
65,Medical,20852.159137845993,2022-08-28,False
66,Auto,78324.96957245276,2023-04-27,False
67,Medical,30919.72630086181,2023-11-06,True
68,Fraud,3804.429808756975,2023-04-06,False
69,Property,47156.68856823875,2022-05-18,True
70,Fraud,20615.81646834374,2023-03-27,False
71,Auto,54019.26215429829,2022-11-20,True
72,Auto,,2023-04-18,False
73,Auto,64212.94913604573,2023-09-06,False
74,Property,75261.7732050437,2023-04-22,False
75,Medical,26457.610130367244,2022-07-12,False
76,Auto,,2022-11-03,True
77,Medical,23643.969742090783,2023-06-26,False
78,Auto,19796.880434074672,2022-08-09,False
79,Property,29022.169625760507,2022-06-21,True
80,Fraud,39183.05430788874,2022-06-09,True
81,Fraud,49530.943485594515,2022-06-21,True
82,Property,39804.76717842269,2022-03-04,True
83,Medical,29625.50099320153,2023-07-27,False
84,Auto,49283.41866105085,2022-03-06,False
85,Fraud,24646.193559759184,2022-06-18,False
86,Property,29037.428369538233,2022-03-22,False
87,Medical,15532.166299838866,2022-09-25,True
88,Fraud,3024.5083301552604,2023-01-15,False
89,Property,31185.39472861505,2022-03-14,True
90,Auto,32982.361384492695,2022-11-28,False
91,Property,20744.447885206704,2022-07-07,True
92,Medical,50088.023097052894,2022-01-25,True
93,Fraud,119960.70036097539,2022-08-16,True
94,Auto,13347.652480430354,2022-04-28,True
95,Medical,63758.55107524789,2023-03-21,True
96,Property,55757.703523226635,2022-04-18,True
97,Fraud,13479.559257336658,2022-08-30,True
98,Fraud,12715.327113851492,2023-09-03,True
99,Medical,9571.325411907917,2023-06-18,False
100,Auto,98439.5496893623,2023-04-26,True
101,Medical,105723.33333824095,2023-05-18,False
